time,netspace
1627358400000.0,3.716097620884402e+19
1627444800000.0,3.6283582742659293e+19
1627531200000.0,3.6152953290498023e+19
1627617600000.0,3.5665227043404042e+19
1627704000000.0,3.739936361204036e+19
1627790400000.0,3.742858549004485e+19
1627876800000.0,3.7278946724433125e+19
1627963200000.0,3.849787724332734e+19
1628049600000.0,3.7692719599781626e+19
1628136000000.0,3.725222098142291e+19
1628222400000.0,3.740146554815332e+19
1628308800000.0,3.633703573931833e+19
1628395200000.0,3.7703956403071525e+19
1628481600000.0,3.776105507210459e+19
1628568000000.0,3.87157829795037e+19
1628654400000.0,3.713454822034771e+19
1628740800000.0,3.855463413481409e+19
1628827200000.0,3.81399692661586e+19
1628913600000.0,4.032875158248461e+19
1629000000000.0,3.7685514087526646e+19
1629086400000.0,3.922505021491962e+19
1629172800000.0,3.95482137221341e+19
1629259200000.0,3.8959317025970274e+19
1629345600000.0,3.874986843346964e+19
1629432000000.0,4.015339003970004e+19
1629518400000.0,4.017344767713506e+19
1629604800000.0,3.940844551821235e+19
1629691200000.0,4.090332156099413e+19
1629777600000.0,3.989437368951399e+19
1629864000000.0,3.966856697548152e+19
1629950400000.0,3.8952808835234505e+19
1630036800000.0,4.060315419900485e+19
1630123200000.0,3.936006660087398e+19
1630209600000.0,4.094060087920524e+19
1630296000000.0,4.045271339663131e+19
1630382400000.0,4.038804947474171e+19
1630468800000.0,3.8683729702126805e+19
1630555200000.0,3.968337049883598e+19
1630641600000.0,4.091920524988042e+19
1630728000000.0,3.992961859072212e+19
