date,btc,eth,doge,ltc,bch,etc,dash
2017-08-25,24241114851.77839,16281832237.571926,116346769.46844828,1416827315.6659913,1425887819.3027291,973703477.006745,688620361.7929391
2017-08-26,24378349664.15381,16342229863.603617,116333937.94882485,1420536666.5259404,1455305870.2071612,976047842.9870232,712330384.4693668
2017-08-27,24500204781.840664,16565633930.31638,116348341.41973102,1445028222.5973847,1473164599.6902795,987609048.9323168,715653046.9530269
2017-08-28,24678217855.27215,16697733127.699472,116397713.38945836,1460308896.130973,1488461790.1867518,986245810.7703928,718356132.7583941
2017-08-29,25028005549.761906,16966421173.987637,116284999.98785488,1475269889.5739472,1562953465.5972168,988530742.2833344,723523102.8354088
2017-08-30,25222057918.165104,17390403439.427525,116834239.88573939,1498165032.8663497,1916493692.9178092,991986795.508766,729104640.1548548
2017-08-31,25559888308.341488,17837523807.193684,116946110.90825808,1532667094.7943733,1947552146.719532,1002367012.2498828,734563772.2882096
2017-09-01,25883011205.112522,17951555263.918064,118138803.51364309,1685835573.0299916,1974657452.8365612,1136535689.9704814,740952828.5923469
2017-09-02,26029058323.414284,17961830345.149887,118514636.6922234,1719487955.187178,1990178913.6629689,1105093496.519837,745278665.6819539
2017-09-03,26160376453.66929,18003168112.038593,118957307.61781093,1758751995.4671044,2010956749.8679416,1099452628.724866,762012989.0663273
2017-09-04,26303473247.431484,17819170782.408417,118561984.76732512,1820134689.5148008,2027180158.091586,1079403056.123319,763954771.0425876
2017-09-05,26440218637.55728,17801096212.671993,118457095.5233806,1835529110.5109544,2070108709.420148,1068307374.5728524,766337277.8535552
2017-09-06,26641401517.557716,17983879667.36587,118468975.41150844,1886172018.3132484,2125738867.6618848,1108027496.7390757,769498081.7400291
2017-09-07,26957151116.790768,18025169583.46206,118403202.27401523,1901646385.7460067,2152316753.7866755,1098300149.253734,774603943.4170628
2017-09-08,26978942967.819607,17894192228.012238,117815871.72846024,1918703938.6179397,2175655040.7942386,1080076272.914638,778220636.3850857
2017-09-09,27030571266.464077,17786786176.50691,117317697.63769658,1972010322.868698,2188991114.1227455,1071840757.8983874,779898111.6076051
