date,btc,eth,doge,ltc,bch,etc,xmr,dash
2020-11-22,17596801059571.43,3555933637388634.5,3137204.1283204635,6859643.2095826445,263976934628.2233,48612298192666.8,181939570143.73743,244099100.7533489
2020-11-23,17596801059571.43,3421094478954028.5,3108457.786049021,6982427.003670685,272503107271.911,42292948772049.59,193145893997.49072,238670042.6219279
2020-11-24,17596801059571.43,3513543185232632.5,3198616.790842683,6982427.003670685,293939189013.26056,42043274034976.734,195212904714.1994,230037325.5025108
2020-11-25,17596801059571.43,3557961718299249.5,3122174.0794673567,7297880.471077859,283848888558.6193,52272044756429.22,176714585066.6754,237595456.36695996
2020-11-26,17596801059571.43,3518481442900867.5,2983782.09539318,7716782.241561983,255269969098.86008,42586878303258.68,185300831465.66223,238577069.0113032
2020-11-27,17596801059571.43,3556211536014521.0,2817257.285254186,7716782.241561982,250673989247.38184,51679577836996.29,190537734347.9688,235586891.0042839
2020-11-28,17596801059571.43,3465398680794349.0,2834094.3418827667,7716782.241561982,256421390048.0382,53474488128952.445,190243009302.14032,224172173.16879007
2020-11-29,18210540167859.32,3615578620968005.0,2886618.517397099,7456642.405219598,268536026221.72668,64558431386349.3,210396053301.5651,228538574.81614107
2020-11-30,19157154724710.14,3616421104215009.5,2753319.6991016325,7383669.560335544,277198047316.702,70155028691086.414,196000829671.2958,240112779.54393828
2020-12-01,19157154724710.14,3692341652786689.5,3010915.272912604,7383669.560335513,263485533620.2893,70032058491619.945,194184049716.15213,216405146.83267763
2020-12-02,19157154724710.14,3518482216809904.5,2945089.2393636755,7500800.389154334,249539057109.6312,70696354126359.31,198116181208.2669,223789568.26593468
2020-12-03,19157154724710.14,3610522802719949.0,3148942.373948197,7661397.736480178,253910103814.8441,72967940167008.72,192952875826.36,209647717.6345333
2020-12-04,19157154724710.14,3634624816443200.0,3143492.355106301,7661397.736480179,257815144274.8656,74115500012495.11,188221077205.7317,238487649.46274817
2020-12-05,19157154724710.14,3615951621594437.5,3229904.2606490185,7680970.50484829,263304123161.9499,76308693240782.88,185830682552.30167,218658782.8773839
2020-12-06,19157154724710.14,3629167538704029.0,3441193.961161936,7979322.974026247,269131157853.6335,72816486372176.25,196227700438.1397,242627129.1768523
2020-12-07,19157154724710.14,3625010173857277.5,3308713.617664665,7979322.974026251,265949086439.27747,76840015581376.7,191659905235.9704,215676750.96003655
2020-12-08,19157154724710.14,3637824091078682.5,3242254.116314427,7979322.974026223,258371562089.58545,76718486641624.45,202236761674.5619,220668905.55475008
2020-12-09,19157154724710.14,3633816162748327.0,3244974.721256428,8075282.740121628,253020845874.64816,75140013768001.86,197001034092.0067,224895312.80196533
2020-12-10,19157154724710.14,3692368191499609.5,3426591.6710305465,8144406.300444519,253247073197.11465,75604783966388.52,195189746481.098,221850188.0734764
2020-12-11,19157154724710.14,3561011789808634.5,3435655.5574704874,8144406.300444512,255176306246.7364,78289876302791.7,189404378936.11432,231569013.92093813
2020-12-12,19157154724710.14,3597998813947740.5,3380812.9827563064,8134806.74305553,257206800775.2937,84605086924116.34,183475169012.2503,224382245.6168523
2020-12-13,19129059368961.453,3661126231468105.0,3581522.7415928035,7981813.797168739,260045550645.04288,83647113772238.72,194148104661.76727,219443372.95118245
2020-12-14,18670168558399.59,3521007134954278.0,3541689.8887677514,7981813.797168739,251269503223.6829,85840682048197.81,201154341210.986,222767603.36238363
2020-12-15,18670168558399.59,3567719974235594.5,3277871.6769087934,7981813.79716874,256245425190.4409,84816921306768.27,202641752631.1828,213702786.3347398
2020-12-16,18670168558399.59,3559678179524204.0,3407502.7931742626,8209388.73038424,254477800396.1685,95621918202885.52,206762277476.0014,204461574.0816821
2020-12-17,18670168558399.59,3583773287221712.0,3274899.6104260217,8318352.289430066,240141714313.3141,97746486356423.52,201949873390.02637,239732143.85864788
2020-12-18,18670168558399.59,3632389641760742.5,3312532.7354098703,8318352.289430125,232076008193.51736,95585720790122.0,204320657541.9168,196092747.2952937
2020-12-19,18670168558399.59,3573611550842748.5,3461840.0730960006,8300314.96810535,225760780333.3145,93085730145562.11,200353634966.16928,173832769.1878564
2020-12-20,18670168558399.59,3619780104259097.5,3252243.480466091,8201819.033680275,248527527164.95068,93790750272182.0,212845944306.93793,201805563.89839223
2020-12-21,18670168558399.59,3677135710104575.0,2478226.3056043903,8201819.033680311,260762393184.6206,99925318519456.89,209828306226.3732,191732703.1609526
2020-12-22,18670168558399.59,3668281226998033.0,2665684.2154684616,8201819.033680293,242409423155.37305,101484448659005.69,202025690227.77,192867616.26453805
2020-12-23,18670168558399.59,3696187110600807.0,2958888.5156623377,8121119.372928588,241522849904.2376,99816284477004.45,210137396633.87677,211816061.6418236
2020-12-24,18670168558399.59,3684746021761145.5,3442939.2391239847,8074309.333489994,220675179787.7798,100511481297054.31,205610880103.46777,192644105.47995085
2020-12-25,18670168558399.59,3609207740808972.0,3429658.4334414746,8074309.333490007,216653263555.83276,98285463595041.69,203627630287.92184,204186966.2074764
2020-12-26,18670168558399.59,3653750099729029.5,3524489.449362237,8464101.420886047,221955378508.32132,97466065928747.12,199841834502.43677,204208619.69483623
2020-12-27,18668261112180.668,3650840376205878.5,3588719.955730154,9006420.846828561,218483502730.1138,97619336269974.42,198289611904.51907,214528943.10740235
2020-12-28,18599593048299.49,3784431191290497.0,3503993.787077613,9006420.84682856,227458431469.82187,94585519121211.08,198375045788.9365,195531525.83914423
2020-12-29,18599593048299.49,3784290938732871.0,3427604.4263596646,9006420.84682856,220439865769.2288,95344029752152.34,201366304878.91205,203264320.34523013
2020-12-30,18599593048299.49,3670115907794824.0,3498260.531189749,8921715.410207469,221246541795.19836,98433390032675.53,203048268174.63284,203897388.2275844
2020-12-31,18599593048299.49,3738495710243712.0,3442471.68291728,8915136.347168928,213717181774.4276,101428573225065.28,221413314623.87195,204304525.3997199
2021-01-01,18599593048299.49,3730319486187331.0,3629167.423047692,8915136.347168928,211940134969.80096,104634776046663.44,203593047200.91943,200055635.79953557
2021-01-02,18599593048299.49,3851061603179172.0,2826106.606499761,8905694.819073018,206791890029.9503,109171050921315.08,195435161982.73532,184088509.2517878
2021-01-03,18599593048299.49,3872311741599889.5,2730780.669837993,8892279.98123675,202960694305.35477,110133783451956.27,202795593320.01627,201648190.96679503
2021-01-04,18599593048299.49,3861592932138310.5,2927883.2186753624,8892279.981236743,229281542068.14813,108944755439374.66,208895808327.512,189440299.3962853
2021-01-05,18599593048299.49,3864795205696313.0,3084861.5747856265,8918747.558379084,218435014354.6788,107107234536584.69,215031300093.2061,183732047.43544552
2021-01-06,18599593048299.49,3914136033150552.0,3187687.2181172157,9284000.122942908,208741666980.5809,108496811944169.95,207562679400.44196,193288460.50240675
2021-01-07,18599593048299.49,3946816156179240.0,3078557.078827037,9284000.122942906,201652011610.9122,105833682206953.28,216066159610.16873,201885193.68764675
2021-01-08,18599593048299.49,3962122148552653.0,3263157.1884891186,9284000.122942908,185446412280.4662,103982438916735.78,209848426951.7458,217619288.2590864
2021-01-09,19437390637169.965,3986181530250854.5,3530693.0994504625,9622055.770047698,206852177995.11557,104869902406974.16,219232137475.23416,195117349.14031768
2021-01-10,20607418304385.63,4027405136971748.0,3365706.321011523,9751444.32524488,278358106832.26154,107964204826744.08,218797864226.51968,170483640.07841447
2021-01-11,20607418304385.63,4071173654112544.0,3548434.8629801213,9751444.32524488,281200663104.1201,114571119741149.95,222588829167.91827,193445340.5014358
2021-01-12,20607418304385.63,4097644723543732.0,3479544.158389485,10004967.458707388,240004366704.38373,113745547738587.55,226601685716.9904,163049662.86466396
2021-01-13,20607418304385.63,4108383817719712.0,3801481.049350808,10368386.886074409,243814141668.89188,114527727373193.31,227162205470.96707,174389991.8891031
2021-01-14,20607418304385.63,4216956913320825.5,3601529.950836923,10368386.886074403,237743485261.74216,114419816627303.88,218194046626.1232,168575875.49277866
2021-01-15,20607418304385.63,4109040327249201.0,3618595.629623546,10368386.886074418,234591782978.49457,114140394251890.7,205349525248.60983,166475803.10290888
2021-01-16,20607418304385.63,4224079146916756.0,3808701.728595356,10225886.016479172,246867274628.03488,108642876700518.77,214856255329.70648,208180092.9886727
2021-01-17,20607418304385.63,4116200015867673.5,3758277.034566439,10207065.146909988,252328048741.1005,108693002347688.81,228547001110.708,189283215.7225702
2021-01-18,20607418304385.63,4163782479769111.0,3678162.6372590233,10207065.146909991,254776703116.74963,108561760866451.81,213754350370.56635,177771654.87864253
2021-01-19,20607418304385.63,4188710615018781.0,3732175.5963125406,10239847.461260462,262544575849.59708,109527288364396.8,197674965899.37,179528224.09517646
2021-01-20,20607418304385.63,4271547166180999.0,3854047.1301714336,10285457.637748089,260262741837.347,110977848780187.23,204972572382.91055,180552335.8301561
2021-01-21,20607418304385.63,4256981154872425.0,3874187.4470667327,10285457.637748104,246994610392.4015,108262442284735.36,220445891539.0488,197773736.99875683
