"Date","USD","GBP","EURO"
2021-01-08,26.645,19.6,21.75
2021-01-07,27.13,20,22.14
2021-01-06,27.525,20.17,22.31
2021-01-05,27.51,20.24,22.4
2021-01-04,27.27,19.95,22.19
2020-12-31,26.485,19.41,21.58
2020-12-30,26.305,19.33,21.43
2020-12-29,26.15,19.36,21.35
2020-12-24,25.78,18.97,21.14
2020-12-23,25.315,18.86,20.77
2020-12-22,25.77,19.22,21.05
2020-12-21,26.155,19.71,21.51
2020-12-18,25.815,19.08,21.07
2020-12-17,25.74,18.91,21.03
2020-12-16,25.13,18.57,20.61
2020-12-15,24.215,18.1,19.91
2020-12-14,23.855,17.77,19.62
2020-12-11,23.815,18.06,19.65
2020-12-10,23.885,18.02,19.76
2020-12-09,24.085,17.9,19.88
2020-12-08,24.475,18.38,20.21
2020-12-07,23.75,17.91,19.61
2020-12-04,24.225,17.99,19.91
2020-12-03,24.17,18,19.94
2020-12-02,23.98,17.98,19.9
2020-12-01,23.535,17.66,19.66
2020-11-30,22.15,16.58,18.48
2020-11-27,23.135,17.37,19.4
2020-11-26,23.36,17.49,19.62
2020-11-25,23.41,17.57,19.7
2020-11-24,23.155,17.36,19.51
2020-11-23,23.905,17.88,20.08
2020-11-20,24.165,18.2,20.35
2020-11-19,23.98,18.09,20.26
2020-11-18,24.315,18.31,20.48
2020-11-17,24.63,18.56,20.74
2020-11-16,24.265,18.37,20.5
2020-11-13,24.245,18.41,20.52
2020-11-12,24.215,18.4,20.5
2020-11-11,24.21,18.25,20.57
2020-11-10,24.195,18.25,20.5
2020-11-09,25.105,19.1,21.14
2020-11-06,25.78,19.62,21.7
2020-11-05,24.57,18.8,20.81
2020-11-04,23.975,18.41,20.48
2020-11-03,24.17,18.6,20.64
2020-11-02,23.975,18.56,20.58
2020-10-30,23.625,18.19,20.24
2020-10-29,23.015,17.78,19.66
2020-10-28,23.925,18.47,20.39
2020-10-27,24.435,18.71,20.65
2020-10-26,24.28,18.6,20.54
2020-10-23,24.76,18.94,20.9
2020-10-22,24.915,19.02,21.06
2020-10-21,25.02,19.15,21.1
2020-10-20,24.63,19.01,20.85
2020-10-19,24.84,19.11,21.11
2020-10-16,24.36,18.9,20.79
2020-10-15,23.935,18.48,20.42
2020-10-14,24.175,18.67,20.6
2020-10-13,24.935,19.1,21.15
2020-10-12,25.06,19.26,21.25
2020-10-09,24.315,18.8,20.6
2020-10-08,23.96,18.58,20.38
2020-10-07,23.53,18.29,20.01
2020-10-06,24.3,18.79,20.64
2020-10-05,23.915,18.48,20.35
2020-10-02,23.865,18.48,20.38
2020-10-01,23.62,18.4,20.11
2020-09-30,23.725,18.5,20.26
2020-09-29,23.835,18.53,20.38
2020-09-28,22.89,17.74,19.63
2020-09-25,22.63,17.81,19.43
2020-09-24,22.22,17.42,19.08
2020-09-23,23.595,18.55,20.15
2020-09-22,24.3,18.9,20.67
2020-09-21,26.36,20.5,22.37
2020-09-18,27.06,20.84,22.85
2020-09-17,26.745,20.62,22.67
2020-09-16,27.38,21.12,23.07
2020-09-15,27.545,21.33,23.15
2020-09-14,26.885,20.88,22.64
2020-09-11,26.875,20.95,22.66
2020-09-10,27.105,20.81,22.9
2020-09-09,26.535,20.52,22.57
2020-09-08,26.675,20.42,22.61
2020-09-07,26.83,20.4,22.7
2020-09-04,26.815,20.19,22.63
2020-09-03,26.9,20.3,22.77
2020-09-02,27.705,20.73,23.36
2020-09-01,28.885,21.44,24.09
2020-08-28,27.35,20.56,22.98
2020-08-27,27.245,20.67,23.08
2020-08-26,26.395,20.07,22.35
2020-08-25,26.495,20.18,22.4
2020-08-24,26.885,20.49,22.72
2020-08-21,26.85,20.43,22.77
2020-08-20,26.915,20.51,22.74
2020-08-19,27.44,20.76,22.99
2020-08-18,28.325,21.52,23.8
2020-08-17,26.915,20.56,22.71
2020-08-14,26.705,20.38,22.61
2020-08-13,26.25,20.03,22.16
2020-08-12,25.81,19.79,21.92
2020-08-11,28.28,21.61,23.99
2020-08-10,28.27,21.7,24.06
2020-08-07,28.33,21.66,23.96
2020-08-06,27.885,21.17,23.55
2020-08-05,26.945,20.53,22.77
2020-08-04,24.33,18.67,20.68
2020-08-03,24.23,18.62,20.66
2020-07-31,24.07,18.32,20.32
2020-07-30,23.16,17.79,19.71
2020-07-29,24.335,18.77,20.72
2020-07-28,23.545,18.28,20.06
2020-07-27,24.375,18.94,20.79
2020-07-24,22.475,17.64,19.4
2020-07-23,22.86,17.99,19.74
2020-07-22,22.245,17.52,19.22
2020-07-21,20.555,16.19,17.97
2020-07-20,19.44,15.42,16.97
2020-07-17,19.16,15.27,16.77
2020-07-16,19.245,15.36,16.89
2020-07-15,19.33,15.31,16.89
2020-07-14,18.895,15.09,16.62
2020-07-13,19.095,15.15,16.85
2020-07-10,18.77,14.88,16.62
2020-07-09,18.835,14.9,16.63
2020-07-08,18.485,14.75,16.39
2020-07-07,18.02,14.42,15.98
2020-07-06,18.255,14.61,16.16
2020-07-03,18.02,14.47,16.04
2020-07-02,17.925,14.33,15.89
2020-07-01,18.22,14.69,16.26
2020-06-30,17.845,14.55,15.92
2020-06-29,17.905,14.53,15.86
2020-06-26,17.83,14.36,15.88
2020-06-25,17.53,14.09,15.64
2020-06-24,17.855,14.26,15.79
2020-06-23,17.81,14.3,15.78
2020-06-22,17.86,14.42,15.93
2020-06-19,17.525,14.15,15.64
2020-06-18,17.615,14.08,15.65
2020-06-17,17.47,13.9,15.54
2020-06-16,17.41,13.76,15.39
2020-06-15,17.085,13.66,15.19
2020-06-12,17.625,13.97,15.6
2020-06-11,17.875,14.09,15.72
2020-06-10,17.715,13.87,15.59
2020-06-09,17.63,13.95,15.63
2020-06-08,17.63,13.95,15.64
2020-06-05,17.58,13.9,15.51
2020-06-04,17.75,14.16,15.84
2020-06-03,17.86,14.19,15.94
2020-06-02,18.27,14.55,16.36
2020-06-01,18.16,14.66,16.35
2020-05-29,17.59,14.28,15.8
2020-05-28,17.34,14.17,15.75
2020-05-27,17.19,13.94,15.6
2020-05-26,17.3,14.06,15.79
2020-05-22,17,13.95,15.59
2020-05-21,17.205,14.07,15.66
2020-05-20,17.47,14.24,15.95
2020-05-19,17.12,13.98,15.61
2020-05-18,17.35,14.31,16.05
2020-05-15,16.25,13.32,15.03
2020-05-14,15.53,12.73,14.39
2020-05-13,15.56,12.65,14.32
2020-05-12,15.485,12.54,14.29
2020-05-11,15.445,12.54,14.28
2020-05-07,14.98,12.11,13.88
2020-05-06,15.075,12.18,13.95
2020-05-05,14.75,11.85,13.61
2020-05-04,14.93,12.03,13.66
2020-05-01,14.845,11.83,13.52
2020-04-30,15.335,12.26,14.1
2020-04-29,15.165,12.24,13.98
2020-04-28,15.145,12.12,13.92
2020-04-27,15.205,12.21,14.01
2020-04-24,15.315,12.4,14.2
2020-04-23,15.305,12.38,14.2
2020-04-22,14.91,12.06,13.71
2020-04-21,14.97,12.14,13.82
2020-04-20,15.15,12.15,13.94
2020-04-17,15.16,12.18,13.99
2020-04-16,15.5,12.41,14.25
2020-04-15,15.57,12.45,14.28
2020-04-14,15.51,12.36,14.17
2020-04-09,15.175,12.2,13.97
2020-04-08,15.065,12.21,13.86
2020-04-07,15.075,12.27,13.86
2020-04-06,14.555,11.82,13.47
2020-04-03,14.39,11.73,13.32
2020-04-02,14.175,11.39,12.98
2020-04-01,14.015,11.32,12.81
2020-03-31,13.93,11.27,12.73
2020-03-30,14.055,11.32,12.7
2020-03-27,14.315,11.71,13.01
2020-03-26,14.415,12.05,13.15
2020-03-25,13.965,11.75,12.92
2020-03-24,13.625,11.61,12.55
2020-03-23,12.51,10.84,11.68
2020-03-20,12.63,10.75,11.8
2020-03-19,12.005,10.41,11.17
2020-03-18,12.42,10.43,11.32
2020-03-17,12.44,10.28,11.31
2020-03-16,12.965,10.53,11.58
2020-03-13,15.77,12.6,14.14
2020-03-12,16.525,12.98,14.71
2020-03-11,17.02,13.18,15.02
2020-03-10,17.07,13.09,15.03
2020-03-09,16.885,12.89,14.78
2020-03-06,17.48,13.44,15.43
2020-03-05,17.2,13.31,15.38
2020-03-04,17.25,13.48,15.47
2020-03-03,16.81,13.15,15.13
2020-03-02,16.915,13.24,15.21
2020-02-28,17.185,13.34,15.63
2020-02-27,18.05,14.03,16.49
2020-02-26,18.075,13.97,16.6
2020-02-25,18.33,14.14,16.91
2020-02-24,18.775,14.56,17.36
2020-02-21,18.56,14.34,17.18
2020-02-20,18.385,14.28,17.03
2020-02-19,18.345,14.13,17
2020-02-18,17.885,13.72,16.52
2020-02-17,17.8,13.68,16.42
2020-02-14,17.705,13.59,16.34
2020-02-13,17.64,13.59,16.25
2020-02-12,17.56,13.52,16.09
2020-02-11,17.705,13.69,16.22
2020-02-10,17.785,13.76,16.24
2020-02-07,17.77,13.74,16.23
2020-02-06,17.765,13.71,16.15
2020-02-05,17.62,13.5,15.98
2020-02-04,17.73,13.62,16.04
2020-02-03,17.77,13.61,16.06
2020-01-31,17.885,13.62,16.21
2020-01-30,17.725,13.55,16.08
2020-01-29,17.47,13.42,15.88
2020-01-28,17.975,13.81,16.33
2020-01-27,18.295,13.98,16.6
2020-01-24,17.83,13.63,16.16
2020-01-23,17.6,13.41,15.87
2020-01-22,17.77,13.57,16.04
2020-01-21,17.985,13.77,16.2
2020-01-20,18.055,13.9,16.29
2020-01-17,18.06,13.85,16.25
2020-01-16,18.01,13.79,16.14
2020-01-15,17.85,13.72,16.01
2020-01-14,17.77,13.67,15.97
2020-01-13,17.985,13.87,16.17
2020-01-10,17.915,13.7,16.15
2020-01-09,17.91,13.76,16.13
2020-01-08,18.42,14.05,16.55
2020-01-07,18.145,13.8,16.23
2020-01-06,18.44,14.02,16.46
2020-01-03,18.21,13.95,16.36
2020-01-02,17.925,13.58,16.02
2019-12-31,18.045,13.66,16.07
2019-12-30,17.825,13.58,15.93
2019-12-27,17.825,13.62,15.99
2019-12-24,17.585,13.58,15.88
2019-12-23,17.375,13.38,15.68
2019-12-20,17.035,13.09,15.35
2019-12-19,16.94,12.95,15.22
2019-12-18,16.995,12.98,15.27
2019-12-17,17.06,12.92,15.29
2019-12-16,17.02,12.73,15.27
2019-12-13,16.935,12.65,15.15
2019-12-12,16.865,12.8,15.15
2019-12-11,16.66,12.67,15.04
2019-12-10,16.675,12.66,15.04
2019-12-09,16.62,12.61,15.01
2019-12-06,16.94,12.9,15.27
2019-12-05,16.87,12.84,15.21
2019-12-04,17.13,13.12,15.48
2019-12-03,17.01,13.09,15.36
2019-12-02,16.875,13.07,15.33
2019-11-29,16.965,13.15,15.43
2019-11-28,16.945,13.12,15.4
2019-11-27,17.055,13.23,15.49
2019-11-26,16.935,13.15,15.37
2019-11-25,16.87,13.11,15.31
2019-11-22,17.175,13.34,15.52
2019-11-21,17.09,13.19,15.42
2019-11-20,17.115,13.27,15.48
2019-11-19,17.125,13.24,15.46
2019-11-18,16.795,12.97,15.18
2019-11-15,16.87,13.1,15.29
2019-11-14,17.035,13.27,15.5
2019-11-13,16.95,13.21,15.4
2019-11-12,16.735,13.04,15.19
2019-11-11,16.88,13.16,15.31
2019-11-08,16.81,13.13,15.24
2019-11-07,17.53,13.66,15.83
2019-11-06,17.54,13.61,15.83
2019-11-05,18.045,13.98,16.23
2019-11-04,18.185,14.07,16.29
2019-11-01,18.12,13.98,16.24
2019-10-31,18.055,13.93,16.19
2019-10-30,17.955,13.92,16.15
2019-10-29,17.66,13.74,15.93
2019-10-28,18.055,14.06,16.27
2019-10-25,18.125,14.12,16.31
2019-10-24,17.53,13.6,15.75
2019-10-23,17.535,13.64,15.79
2019-10-22,17.625,13.61,15.82
2019-10-21,17.725,13.66,15.88
2019-10-18,17.435,13.53,15.66
2019-10-17,17.45,13.55,15.7
2019-10-16,17.255,13.52,15.65
2019-10-15,17.67,13.97,16.04
2019-10-14,17.605,14.02,15.96
2019-10-11,17.6,14.01,15.95
2019-10-10,17.75,14.49,16.1
2019-10-09,17.78,14.54,16.19
2019-10-08,17.555,14.37,15.97
2019-10-07,17.425,14.14,15.87
2019-10-04,17.605,14.27,16.02
2019-10-03,17.6,14.32,16.06
2019-10-02,17.26,14.09,15.8
2019-10-01,17.11,13.91,15.69
2019-09-30,17.255,14.03,15.8
2019-09-27,17.52,14.24,16.02
2019-09-26,17.97,14.56,16.44
2019-09-25,18.57,14.96,16.89
2019-09-24,18.56,14.91,16.89
2019-09-23,18.38,14.79,16.73
2019-09-20,17.88,14.3,16.19
2019-09-19,17.755,14.26,16.05
2019-09-18,17.85,14.32,16.16
2019-09-17,17.84,14.38,16.18
2019-09-16,17.835,14.32,16.16
2019-09-13,18.145,14.57,16.36
2019-09-12,18.19,14.77,16.5
2019-09-11,18.165,14.7,16.5
2019-09-10,17.99,14.58,16.3
2019-09-09,18.17,14.68,16.48
2019-09-06,18.145,14.75,16.45
2019-09-05,19.22,15.58,17.38
2019-09-04,19.305,15.81,17.52
2019-09-03,18.475,15.36,16.89
2019-09-02,18.35,15.2,16.73
2019-08-30,18.385,15.1,16.65
2019-08-29,18.48,15.15,16.69
2019-08-28,18.365,15.05,16.56
2019-08-27,17.725,14.46,15.96
2019-08-23,17.05,13.96,15.42
2019-08-22,16.96,13.97,15.32
2019-08-21,17.11,14.11,15.41
2019-08-20,17.02,14.1,15.36
2019-08-19,16.925,13.96,15.24
2019-08-16,17.16,14.11,15.49
2019-08-15,17.29,14.3,15.5
2019-08-14,17.115,14.15,15.31
2019-08-13,17.445,14.44,15.55
2019-08-12,16.955,14.02,15.14
2019-08-09,17,14.07,15.18
2019-08-08,17.02,14.01,15.2
2019-08-07,16.82,13.86,15.04
2019-08-06,16.385,13.45,14.63
2019-08-05,16.485,13.55,14.76
2019-08-02,16.195,13.37,14.59
2019-08-01,16.005,13.22,14.51
2019-07-31,16.475,13.54,14.78
2019-07-30,16.455,13.52,14.76
2019-07-29,16.39,13.31,14.73
2019-07-26,16.44,13.23,14.77
2019-07-25,16.535,13.23,14.84
2019-07-24,16.535,13.21,14.83
2019-07-23,16.43,13.18,14.7
2019-07-22,16.385,13.14,14.6
2019-07-19,16.315,13.01,14.52
2019-07-18,16.03,12.85,14.3
2019-07-17,15.61,12.58,13.92
2019-07-16,15.395,12.4,13.72
2019-07-15,15.32,12.21,13.59
2019-07-12,15.14,12.08,13.45
2019-07-11,15.265,12.15,13.54
2019-07-10,15.095,12.11,13.46
2019-07-09,15.025,12.05,13.41
2019-07-08,15.07,12.03,13.44
2019-07-05,15.21,12.12,13.51
2019-07-04,15.28,12.15,13.54
2019-07-03,15.31,12.18,13.55
2019-07-02,15.17,12.01,13.43
2019-07-01,15.26,12.08,13.46
2019-06-28,15.22,12,13.37
2019-06-27,15.25,11.99,13.4
2019-06-26,15.255,12.02,13.42
2019-06-25,15.4,12.08,13.53
2019-06-24,15.37,12.06,13.49
2019-06-21,15.29,12.08,13.52
2019-06-20,15.33,12.07,13.56
2019-06-19,14.945,11.87,13.34
2019-06-18,14.895,11.88,13.3
2019-06-17,14.78,11.73,13.17
2019-06-14,15.025,11.89,13.35
2019-06-13,14.795,11.68,13.11
2019-06-12,14.79,11.61,13.07
2019-06-11,14.695,11.57,12.99
2019-06-10,14.745,11.63,13.04
2019-06-07,14.91,11.73,13.24
2019-06-06,14.955,11.78,13.31
2019-06-05,14.84,11.68,13.18
2019-06-04,14.72,11.6,13.08
2019-06-03,14.705,11.63,13.15
2019-05-31,14.48,11.51,12.99
2019-05-30,14.4,11.4,12.93
2019-05-29,14.375,11.37,12.89
2019-05-28,14.48,11.42,12.94
2019-05-24,14.55,11.46,13.01
2019-05-23,14.48,11.45,13
2019-05-22,14.435,11.4,12.92
2019-05-21,14.43,11.37,12.95
2019-05-20,14.415,11.31,12.92
2019-05-17,14.48,11.35,12.97
2019-05-16,14.795,11.54,13.2
2019-05-15,14.815,11.48,13.24
2019-05-14,14.755,11.39,13.14
2019-05-13,14.66,11.26,13.05
2019-05-10,14.795,11.36,13.17
2019-05-09,14.82,11.41,13.24
2019-05-08,14.93,11.47,13.33
2019-05-07,14.83,11.33,13.25
2019-05-03,14.655,11.28,13.14
2019-05-02,14.675,11.23,13.1
2019-05-01,14.88,11.39,13.24
2019-04-30,14.985,11.52,13.37
2019-04-29,14.97,11.58,13.42
2019-04-26,15,11.62,13.47
2019-04-25,14.865,11.55,13.36
2019-04-24,14.805,11.44,13.21
2019-04-23,14.975,11.51,13.31
2019-04-18,14.955,11.5,13.29
2019-04-17,15,11.49,13.27
2019-04-16,14.945,11.42,13.22
2019-04-15,14.935,11.39,13.2
2019-04-12,15.065,11.51,13.31
2019-04-11,15.16,11.58,13.44
2019-04-10,15.245,11.65,13.52
2019-04-09,15.255,11.66,13.53
2019-04-08,15.14,11.6,13.47
2019-04-05,15.195,11.63,13.53
2019-04-04,15.085,11.48,13.44
2019-04-03,15.165,11.51,13.49
2019-04-02,15.025,11.51,13.42
2019-04-01,15.07,11.5,13.42
2019-03-29,15.1,11.52,13.45
2019-03-28,15.195,11.58,13.53
2019-03-27,15.4,11.65,13.65
2019-03-26,15.44,11.66,13.65
2019-03-25,15.525,11.77,13.72
2019-03-22,15.46,11.75,13.68
2019-03-21,15.54,11.85,13.64
2019-03-20,15.32,11.58,13.49
2019-03-19,15.41,11.61,13.57
2019-03-18,15.38,11.6,13.54
2019-03-15,15.355,11.58,13.56
2019-03-14,15.235,11.52,13.48
2019-03-13,15.52,11.8,13.73
2019-03-12,15.445,11.83,13.72
2019-03-11,15.295,11.74,13.6
2019-03-08,15.115,11.56,13.48
2019-03-07,15.075,11.47,13.33
2019-03-06,15.095,11.49,13.36
2019-03-05,15.11,11.47,13.33
2019-03-04,15.16,11.5,13.38
2019-03-01,15.56,11.75,13.67
2019-02-28,15.815,11.89,13.85
2019-02-27,15.86,11.91,13.92
2019-02-26,15.83,11.98,13.93
2019-02-25,15.955,12.19,14.04
2019-02-22,15.87,12.2,14
2019-02-21,15.91,12.19,14.02
2019-02-20,16.035,12.31,14.15
2019-02-19,15.78,12.22,13.99
2019-02-18,15.765,12.19,13.91
2019-02-15,15.675,12.23,13.9
2019-02-14,15.58,12.17,13.83
2019-02-13,15.695,12.13,13.85
2019-02-12,15.81,12.3,14.01
2019-02-11,15.705,12.16,13.88
2019-02-08,15.78,12.18,13.92
2019-02-07,15.71,12.2,13.87
2019-02-06,15.73,12.15,13.82
2019-02-05,15.865,12.19,13.89
2019-02-04,15.745,12.05,13.75
2019-02-01,16.01,12.26,13.96
2019-01-31,16.075,12.24,13.99
2019-01-30,15.915,12.15,13.92
2019-01-29,15.855,12.05,13.87
2019-01-28,15.685,11.93,13.75
2019-01-25,15.375,11.74,13.55
2019-01-24,15.3,11.75,13.48
2019-01-23,15.385,11.8,13.54
2019-01-22,15.26,11.84,13.44
2019-01-21,15.26,11.86,13.42
2019-01-18,15.47,11.96,13.56
2019-01-17,15.575,12.08,13.66
2019-01-16,15.54,12.09,13.66
2019-01-15,15.6,12.13,13.65
2019-01-14,15.615,12.13,13.61
2019-01-11,15.68,12.23,13.6
2019-01-10,15.705,12.33,13.63
2019-01-09,15.62,12.27,13.64
2019-01-08,15.64,12.24,13.64
2019-01-07,15.75,12.35,13.77
2019-01-04,15.705,12.4,13.76
2019-01-03,15.535,12.37,13.7
2019-01-02,15.44,12.19,13.51
2018-12-31,15.465,12.11,13.51
2018-12-28,15.295,12.05,13.34
2018-12-27,15.055,11.92,13.22
2018-12-24,14.675,11.6,12.88
2018-12-21,14.69,11.59,12.86
2018-12-20,14.77,11.64,12.88
2018-12-19,14.645,11.58,12.84
2018-12-18,14.655,11.55,12.86
2018-12-17,14.6,11.55,12.86
2018-12-14,14.58,11.61,12.92
2018-12-13,14.68,11.6,12.9
2018-12-12,14.655,11.68,12.93
2018-12-11,14.64,11.62,12.85
2018-12-10,14.53,11.48,12.73
2018-12-07,14.485,11.34,12.73
2018-12-06,14.38,11.28,12.68
2018-12-05,14.48,11.34,12.75
2018-12-04,14.545,11.35,12.77
2018-12-03,14.385,11.31,12.69
2018-11-30,14.235,11.16,12.52
2018-11-29,14.265,11.17,12.55
2018-11-28,14.15,11.06,12.54
2018-11-27,14.275,11.2,12.61
2018-11-26,14.38,11.18,12.65
2018-11-23,14.255,11.12,12.56
2018-11-22,14.52,11.26,12.72
2018-11-21,14.42,11.26,12.65
2018-11-20,14.44,11.24,12.63
2018-11-19,14.36,11.21,12.57
2018-11-16,14.285,11.15,12.61
2018-11-15,14.13,11.02,12.49
2018-11-14,13.97,10.8,12.39
2018-11-13,14.02,10.85,12.46
2018-11-12,14.16,11,12.57
2018-11-09,14.34,11.01,12.63
2018-11-08,14.49,11.06,12.7
2018-11-07,14.67,11.15,12.77
2018-11-06,14.7,11.25,12.89
2018-11-05,14.735,11.33,12.96
2018-11-02,14.82,11.38,12.95
2018-11-01,14.45,11.19,12.68
2018-10-31,14.34,11.23,12.64
2018-10-30,14.425,11.32,12.71
2018-10-29,14.65,11.42,12.86
2018-10-26,14.69,11.48,12.94
2018-10-25,14.74,11.43,12.92
2018-10-24,14.745,11.42,12.92
2018-10-23,14.715,11.33,12.83
2018-10-22,14.63,11.23,12.72
2018-10-19,14.61,11.21,12.75
2018-10-18,14.515,11.06,12.6
2018-10-17,14.65,11.16,12.69
2018-10-16,14.755,11.16,12.74
2018-10-15,14.74,11.19,12.71
