"Date","Open","High","Low","Close","Adj Close","Volume"
2019-12-23,"1818.250000","1818.250000","1818.250000","1818.250000","1818.250000","0"
2019-12-24,"null","null","null","null","null","null"
2019-12-26,"1823.000000","1823.000000","1823.000000","1823.000000","1823.000000","0"
2019-12-27,"1835.500000","1835.500000","1835.500000","1835.500000","1835.500000","0"
2019-12-30,"1834.000000","1845.000000","1834.000000","1834.000000","1834.000000","3"
2019-12-31,"1824.500000","1824.500000","1824.500000","1824.500000","1824.500000","0"
2020-01-02,"1812.500000","1812.500000","1812.500000","1812.500000","1812.500000","0"
2020-01-03,"1830.000000","1830.000000","1830.000000","1830.000000","1830.000000","0"
2020-01-06,"1842.000000","1842.000000","1842.000000","1842.000000","1842.000000","4"
2020-01-07,"1822.000000","1822.000000","1822.000000","1822.000000","1822.000000","3"
2020-01-08,"1802.750000","1802.750000","1802.750000","1802.750000","1802.750000","0"
2020-01-09,"1803.500000","1803.500000","1803.500000","1803.500000","1803.500000","0"
2020-01-10,"1811.500000","1811.500000","1811.500000","1811.500000","1811.500000","0"
2020-01-13,"1798.000000","1798.000000","1798.000000","1798.000000","1798.000000","0"
2020-01-14,"1809.000000","1809.000000","1809.000000","1809.000000","1809.000000","0"
2020-01-15,"1800.250000","1800.250000","1800.250000","1800.250000","1800.250000","0"
2020-01-16,"1811.000000","1811.000000","1811.000000","1811.000000","1811.000000","0"
2020-01-17,"1809.250000","1809.250000","1809.250000","1809.250000","1809.250000","0"
2020-01-21,"1827.000000","1827.000000","1827.000000","1827.000000","1827.000000","0"
2020-01-22,"1814.000000","1814.000000","1814.000000","1814.000000","1814.000000","0"
2020-01-23,"1792.500000","1792.500000","1792.500000","1792.500000","1792.500000","0"
2020-01-24,"1786.000000","1786.000000","1786.000000","1786.000000","1786.000000","0"
2020-01-27,"1769.750000","1769.750000","1769.750000","1769.750000","1769.750000","0"
2020-01-28,"1764.500000","1764.500000","1764.500000","1764.500000","1764.500000","0"
2020-01-29,"1743.000000","1743.000000","1743.000000","1743.000000","1743.000000","0"
2020-01-30,"1751.750000","1751.750000","1751.750000","1751.750000","1751.750000","0"
2020-01-31,"1741.750000","1741.750000","1741.750000","1741.750000","1741.750000","0"
2020-02-03,"1706.750000","1706.750000","1706.750000","1706.750000","1706.750000","0"
2020-02-04,"1712.000000","1712.000000","1712.000000","1712.000000","1712.000000","0"
2020-02-05,"1728.000000","1728.000000","1728.000000","1728.000000","1728.000000","0"
2020-02-06,"1757.000000","1757.000000","1757.000000","1757.000000","1757.000000","0"
2020-02-07,"1737.000000","1737.000000","1737.000000","1737.000000","1737.000000","0"
2020-02-10,"1724.500000","1724.500000","1724.500000","1724.500000","1724.500000","0"
2020-02-11,"1749.750000","1749.750000","1749.750000","1749.750000","1749.750000","0"
2020-02-12,"1749.000000","1749.000000","1749.000000","1749.000000","1749.000000","0"
2020-02-13,"1754.750000","1754.750000","1754.750000","1754.750000","1754.750000","0"
2020-02-14,"1739.500000","1739.500000","1739.500000","1739.500000","1739.500000","9"
2020-02-18,"1718.750000","1718.750000","1718.750000","1718.750000","1718.750000","0"
2020-02-19,"1718.750000","1718.750000","1718.750000","1718.750000","1718.750000","0"
2020-02-20,"1709.500000","1709.500000","1709.500000","1709.500000","1709.500000","0"
2020-02-21,"1704.000000","1704.000000","1704.000000","1704.000000","1704.000000","0"
2020-02-24,"1693.250000","1693.250000","1693.250000","1693.250000","1693.250000","0"
2020-02-25,"1697.500000","1697.500000","1697.500000","1697.500000","1697.500000","0"
2020-02-26,"1684.500000","1684.500000","1684.500000","1684.500000","1684.500000","0"
2020-02-27,"1683.750000","1683.750000","1683.750000","1683.750000","1683.750000","0"
2020-02-28,"1682.000000","1685.000000","1682.000000","1684.000000","1684.000000","12"
2020-03-02,"1708.000000","1708.000000","1708.000000","1708.000000","1708.000000","0"
2020-03-03,"1717.250000","1717.250000","1717.250000","1717.250000","1717.250000","0"
2020-03-04,"1721.000000","1721.250000","1721.000000","1721.250000","1721.250000","8"
2020-03-05,"1709.250000","1709.250000","1709.250000","1709.250000","1709.250000","0"
2020-03-06,"1675.250000","1675.250000","1675.250000","1675.250000","1675.250000","0"
2020-03-09,"1660.750000","1660.750000","1660.750000","1660.750000","1660.750000","0"
2020-03-10,"1686.000000","1686.000000","1686.000000","1686.000000","1686.000000","0"
2020-03-11,"1681.000000","1681.000000","1681.000000","1681.000000","1681.000000","0"
2020-03-12,"1655.500000","1655.500000","1655.500000","1655.500000","1655.500000","0"
2020-03-13,"1668.000000","1668.000000","1668.000000","1668.000000","1668.000000","0"
2020-03-16,"1677.750000","1677.750000","1677.750000","1677.750000","1677.750000","0"
2020-03-17,"1653.000000","1653.000000","1653.000000","1653.000000","1653.000000","0"
2020-03-18,"1631.500000","1631.500000","1631.500000","1631.500000","1631.500000","0"
2020-03-19,"1625.500000","1625.500000","1625.500000","1625.500000","1625.500000","0"
2020-03-20,"1588.250000","1588.250000","1588.250000","1588.250000","1588.250000","0"
