"Date","Open","High","Low","Close","Adj Close","Volume"
2016-11-18,0.892677,0.899389,0.869739,0.871999,0.871999,545120
2016-11-19,0.869411,0.872324,0.85854,0.860979,0.860979,377116
2016-11-20,0.86104,0.878762,0.854087,0.858533,0.858533,383441
2016-11-21,0.858654,0.862085,0.844641,0.850297,0.850297,273020
2016-11-22,0.850341,0.869077,0.838704,0.840367,0.840367,440341
2016-11-23,0.837902,0.85043,0.808571,0.816454,0.816454,742687
2016-11-24,0.815735,0.818415,0.736664,0.769668,0.769668,1100000
2016-11-25,0.771917,0.861533,0.763722,0.845464,0.845464,1354540
2016-11-26,0.840183,0.842262,0.781507,0.781978,0.781978,445946
2016-11-27,0.781763,0.801659,0.773297,0.778122,0.778122,270799
2016-11-28,0.777354,0.785192,0.75756,0.759313,0.759313,267367
2016-11-29,0.759591,0.782389,0.721561,0.747909,0.747909,796887
2016-11-30,0.748118,0.766068,0.744628,0.748166,0.748166,382146
2016-12-01,0.747475,0.791416,0.746875,0.766635,0.766635,413683
2016-12-02,0.767199,0.813424,0.736627,0.801643,0.801643,1205640
2016-12-03,0.80224,0.807527,0.769488,0.772839,0.772839,396889
2016-12-04,0.772527,0.78778,0.753897,0.768952,0.768952,556114
2016-12-05,0.768666,0.85635,0.755031,0.837907,0.837907,1459110
2016-12-06,0.839794,0.846754,0.743399,0.782294,0.782294,1518070
2016-12-07,0.78219,0.833355,0.773184,0.822794,0.822794,582894
2016-12-08,0.824569,0.830944,0.80618,0.817662,0.817662,528148
2016-12-09,0.817856,0.839118,0.798441,0.809223,0.809223,579338
2016-12-10,0.809507,0.871926,0.802917,0.860004,0.860004,547454
2016-12-11,0.8584,0.962086,0.857915,0.930446,0.930446,1751520
2016-12-12,0.93027,0.958333,0.899886,0.908797,0.908797,1153900
2016-12-13,0.909894,0.998996,0.909467,0.983316,0.983316,1507660
2016-12-14,0.983412,0.999941,0.960026,0.99484,0.99484,1119820
2016-12-15,0.992717,1.10615,0.983595,1.08315,1.08315,3175330
2016-12-16,1.08221,1.08824,1.04174,1.06946,1.06946,1463920
2016-12-17,1.06873,1.06873,0.99188,1.00656,1.00656,1410390
2016-12-18,1.00868,1.05899,1.00767,1.05358,1.05358,632975
2016-12-19,1.06204,1.20754,1.06204,1.19705,1.19705,3140940
2016-12-20,1.1962,1.20376,1.1332,1.13836,1.13836,2311760
2016-12-21,1.13695,1.17224,1.11539,1.13808,1.13808,2182690
2016-12-22,1.1393,1.16225,1.08131,1.10094,1.10094,2408530
2016-12-23,1.10028,1.10847,1.02286,1.04774,1.04774,4006640
2016-12-24,1.04709,1.13363,1.04284,1.11629,1.11629,1701720
2016-12-25,1.11664,1.12879,1.05997,1.07248,1.07248,1115620
2016-12-26,1.07187,1.08308,1.03498,1.04327,1.04327,706717
2016-12-27,1.04349,1.07386,1.0338,1.05362,1.05362,838558
2016-12-28,1.05222,1.12395,1.03993,1.1133,1.1133,1532120
2016-12-29,1.11222,1.46413,1.10969,1.42921,1.42921,8164640
2016-12-30,1.43074,1.62672,1.42274,1.54586,1.54586,9605480
2016-12-31,1.54943,1.57951,1.33315,1.41312,1.41312,3908650
2017-01-01,1.41232,1.50425,1.34887,1.3975,1.3975,3570370
2017-01-02,1.39699,1.45596,1.36327,1.43745,1.43745,3098340
2017-01-03,1.43776,1.59524,1.41135,1.49252,1.49252,5508620
2017-01-04,1.49169,1.79408,1.48712,1.76422,1.76422,7173020
2017-01-05,1.76606,1.90726,1.43792,1.60557,1.60557,7339060
2017-01-06,1.62751,1.64694,1.42005,1.50568,1.50568,3402610
2017-01-07,1.50937,1.5115,1.27241,1.44006,1.44006,3523930
2017-01-08,1.44201,1.49809,1.41797,1.4477,1.4477,1085530
2017-01-09,1.45278,1.46325,1.39107,1.40978,1.40978,1833120
2017-01-10,1.41202,1.45099,1.41202,1.43416,1.43416,1161360
2017-01-11,1.43296,1.44852,1.15233,1.17654,1.17654,3176450
2017-01-12,1.17392,1.25195,1.12376,1.2156,1.2156,1906150
2017-01-13,1.21231,1.24745,1.16878,1.20566,1.20566,1510150
2017-01-14,1.20708,1.23109,1.18913,1.20386,1.20386,574209
2017-01-15,1.20414,1.20567,1.16441,1.18739,1.18739,748170
2017-01-16,1.18608,1.19744,1.17105,1.17779,1.17779,368937
2017-01-17,1.17852,1.23327,1.17516,1.21234,1.21234,1531790
2017-01-18,1.21017,1.22234,1.15786,1.20359,1.20359,984448
2017-01-19,1.20358,1.21669,1.15856,1.17053,1.17053,686642
2017-01-20,1.17094,1.39729,1.15964,1.34219,1.34219,4968780
2017-01-21,1.34324,1.43673,1.34125,1.41394,1.41394,3094200
2017-01-22,1.41361,1.47,1.35691,1.38272,1.38272,1770900
2017-01-23,1.38786,1.405,1.36649,1.405,1.405,797981
2017-01-24,1.3919,1.39714,1.36043,1.36043,1.36043,921969
2017-01-25,1.36038,1.37382,1.28664,1.28971,1.28971,1373550
