CHIA_IMPACT,base_price,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,brand,product,drive_type,drive_subtype,capacity
1,2350.516129032258,1.0,0.8354396132234905,0.9488650399363215,1.0236900612082451,1.224796201246123,1.2780597260725166,1.1682677792111547,1.5249910795158235,1.1860090211255363,0.9188784892816952,Kingston,a400,ssd,sata,128gb
1,3321.5806451612902,1.0,1.2080414632420575,1.0355058318523052,1.0774990531130728,1.1657003564179511,0.9588607574447974,0.9266575377055231,1.0788586856238285,0.8885829715739689,1.0319028056988027,Kingston,a400,ssd,sata,256gb
1,3916.548387096774,1.0,1.0901909774312237,1.1845271923105434,1.1688523194935194,1.1757801882829682,1.2167346165567112,1.1730951380824128,1.2969616103712125,2.650318334939422,1.1457669277589713,Kingston,a400,ssd,sata,512gb
0,8191.903225806452,1.0,1.3364502883874885,1.3117003807851182,0.953864621111588,0.9056660983110781,0.9113877195814908,0.8712812415091219,0.8589401809024646,0.8736431330700258,0.9310294586708355,Kingston,a400,ssd,sata,1tb
1,11971.645161290322,1.0,2.013048305000256,1.5777738257872769,1.215781106431595,1.224226061042086,1.224226061042086,1.285435208463008,1.6985969535542318,1.6985969535542318,1.6985969535542318,Kingston,a400,ssd,sata,2tb
1,1744.0,1.0,1.0,1.359999260136135,1.3928707951070336,1.3993415211601066,1.3688073394495412,0.9859055933708198,1.0356984314886062,1.3108944954128439,1.2513502515537143,Kingston,a400,ssd,m2,128gb
0,3181.9032258064517,1.0,0.9938795579262332,0.9730633927756769,0.9463413727497912,0.9884122912843804,0.9805871240922285,0.977544378998165,0.9759324405154148,0.9235876951983157,0.9455489208122547,Kingston,a400,ssd,m2,256gb
0,6599.935483870968,1.0,0.7796667122845775,0.6153090450542038,0.6024200301729896,0.5186414334450972,0.5260051417902423,0.6303043040498929,0.6633398175935249,0.6249303512253297,0.5674444520474295,Kingston,a400,ssd,m2,512gb
1,2926.548387096774,1.0,1.2130330787121237,1.167388644555405,1.1864944207459336,1.1301434035470608,1.3265684188867948,1.3085987015420566,1.3358134100503731,1.3497128622289827,1.3156531419816364,Kingston,a2000,ssd,nvme,256gb
0,5335.322580645161,1.0,0.8672390338281085,0.8663925753499199,0.8711125890544859,0.8295655854167296,0.8110225016878786,0.789830405997763,0.8847788627225733,0.933920412749277,0.9299192841379728,Kingston,a2000,ssd,nvme,512gb
1,9198.09677419355,1.0,1.0418459639266187,1.0453845641279227,1.0105170190654214,1.076309615242985,1.109388922205739,1.193756772964954,1.0582588964757784,0.9478373857144359,0.941662195194658,Kingston,a2000,ssd,nvme,1tb
0,9059.516129032258,1.0,1.0501901150354924,1.0379996083248766,0.987171927575709,0.9925261265110649,0.9458452171126422,0.9906211611387065,1.087436130249782,1.1153171084880749,1.0979009774074668,Samsung Electronics,870 qvo,ssd,sata,1tb
0,19679.16129032258,1.0,0.96753905626153,0.8934471374665194,0.9522966819330749,0.9292242981768828,0.9314184208829601,0.9321322374740598,0.9668668675232029,0.9859295515916078,0.9703550833204929,Samsung Electronics,870 qvo,ssd,sata,2tb
0,38889.967741935485,1.0,0.963546330584351,0.9980673347218662,0.9276016951050483,0.9151443817088577,0.8842683258280115,0.8800088587404165,0.8892557911527064,0.9872246124784925,0.9789911819036172,Samsung Electronics,870 qvo,ssd,sata,4tb
0,83112.06451612903,1.0,0.9144744217983848,0.9109434056000566,0.8665220116070775,0.8082685872242453,0.8484973520659113,0.8949548879592808,0.7905470810107147,0.8352557927358604,0.8588070362829199,Samsung Electronics,870 qvo,ssd,sata,8tb
1,5315.548387096775,1.0,0.9982440002982294,1.1218215581798983,1.3628822727401453,1.115194620771686,1.3008755001557613,1.6515214040368487,1.4918316320957385,1.3774558709891451,1.6937529584542002,Samsung Electronics,860 pro,ssd,sata,256gb
0,7842.935483870968,1.0,0.952026009494,1.0386211548506772,0.9792251913577454,0.9882162291110554,0.9415139712061947,1.0061037054098407,0.946428057302442,0.9804662232842926,1.0186524959795336,Samsung Electronics,860 pro,ssd,sata,512gb
0,16546.967741935485,1.0,1.1186123733252533,1.133931565280453,0.8772725146016422,0.9323782156754186,0.9568943535118022,1.162883366214646,0.9733914799709916,0.84674728436747,1.2031538767457637,Samsung Electronics,860 pro,ssd,sata,1tb
0,34002.16129032258,1.0,0.9069265927660602,0.9811321291720544,0.9542844366945681,0.8855993025111306,0.8421268603735182,0.8835719171551712,0.9599541585117454,0.8409455629164623,0.9485450165881295,Samsung Electronics,860 pro,ssd,sata,2tb
1,62620.48387096774,1.0,0.8216937008804042,0.7822679891924471,0.6772320713360309,0.6325565941269347,0.883395175408095,1.0702887594752826,1.1305163980661794,1.1268229760951147,1.1393514953109747,Samsung Electronics,860 pro,ssd,sata,4tb
0,9256.387096774193,1.0,0.9681345948195691,0.9618572006077756,0.88188475496141,0.9002118850802235,0.7919468568056466,1.3298750993211312,0.9197067064415854,0.9770550761810503,1.7770773431900002,Samsung Electronics,860 qvo,ssd,sata,1tb
0,3559.0,1.0,1.180608517641392,2.8376492128089623,2.378411538821766,1.9918335161199685,2.0025943617120916,1.759093257439114,2.4911854544136176,2.7467359745246793,2.492227791423832,Samsung Electronics,860 evo,ssd,sata,256gb
1,4838.5161290322585,1.0,1.0460704142451411,1.1680467218688748,1.1001306718935424,1.1649932663973226,1.3995888724437866,1.2594037094817125,1.6960145072469563,2.1037992630816342,1.8739616251316717,Samsung Electronics,860 evo,ssd,sata,512gb
1,9876.870967741936,1.0,1.039162970231155,1.102295032709197,0.9183373995290397,1.106256715754957,1.448474931658518,0.9912535967052384,1.139837940055457,1.1195515971385304,1.0141418694048985,Samsung Electronics,860 evo,ssd,sata,1tb
1,18317.290322580644,1.0,1.0656637026988678,1.0222687536542243,0.9990342281926472,1.0641945913961073,1.3456557292363758,1.3100912939651592,1.148171302981847,1.3595952000225417,1.2998224839566355,Samsung Electronics,860 evo,ssd,sata,2tb
1,40698.74193548387,1.0,0.9154486200560781,0.973703712803994,0.9784135358071621,0.9865470994189406,1.0395038762393385,1.186707839903112,1.1176266841885418,1.011320367885404,1.1122226969051114,Samsung Electronics,860 evo,ssd,sata,4tb
1,3603.3548387096776,1.0,1.0209830700524856,1.0721639332521664,0.9494022893838477,1.0195874812003152,1.0345729189047244,1.0968720905249587,1.3100515648499607,1.2564402349065387,1.3742122036811573,Samsung Electronics,860 evo,ssd,m2,256gb
0,5914.0,1.0,1.1945866950094208,1.042976207359246,1.0281253522714462,0.887178592077847,0.9822342464209222,1.1479103712350138,1.2886698593823296,0.9802897080374253,1.0472743735477326,Samsung Electronics,860 evo,ssd,m2,512gb
0,10682.90322580645,1.0,1.0567452408991498,1.0846362895189783,0.9705320530241267,0.9501917444212943,0.9799583295588369,1.0372950448410183,0.9829030407343661,1.0629569908707512,1.0639520487966907,Samsung Electronics,860 evo,ssd,m2,1tb
0,23908.1935483871,1.0,1.0675628816683171,1.0439247443851074,0.8981858021409855,0.8783154378172416,0.9049422027450884,0.9697120976207374,1.1580913008632483,0.9684378685131564,1.1076969158906245,Samsung Electronics,860 evo,ssd,m2,2tb
0,6996.290322580645,1.0,1.1268778055519877,1.0101620674551028,0.9296545788474692,0.899527399313,0.7837725061668627,0.8996196140811952,0.9036447887129124,0.9760744173179334,1.022477349747562,Samsung Electronics,980 pro,ssd,nvme,256gb
0,11070.935483870968,1.0,0.9761015370923908,0.8812438264680258,0.854661289805623,0.9189391577481286,0.9361991147992855,0.8415991888088252,0.9446093957150224,0.9012698172197471,0.8667187258704133,Samsung Electronics,980 pro,ssd,nvme,512gb
0,19036.032258064515,1.0,1.0654306083127825,0.9591538627085816,0.7456525852782866,0.8959867280556228,0.8697015450608383,0.8950784335987609,0.8490350218685447,0.8586890961170976,0.8163194756294091,Samsung Electronics,980 pro,ssd,nvme,1tb
1,10726.709677419354,1.0,1.1858216236140804,1.3565293749699274,1.1020061468507916,1.1085442428908243,1.0095018564852685,1.1111425203291152,1.045277390174662,1.0530628999663187,0.9662434441610933,Samsung Electronics,970 pro,ssd,nvme,512gb
0,25471.129032258064,1.0,1.0083194852399076,0.9902102950209282,0.8860881917752126,0.6728364182091046,0.845556026958627,0.8738027241468835,0.7004084320641334,0.8855398585368635,0.8413497888184599,Samsung Electronics,970 pro,ssd,nvme,1tb
0,5336.032258064516,1.0,0.959146321979344,0.9700272644286863,0.936038819065352,0.934033382300489,0.9776552591329791,0.9675305440190549,1.0292472962271109,0.974182016761679,1.0050841207372883,Samsung Electronics,970 evo plus,ssd,nvme,256gb
0,7616.645161290323,1.0,0.9614281600085188,0.9231310034051059,0.882019995821263,0.9117594741567704,0.9108209524132206,0.9058471259889207,0.936294024970777,0.8918143341973154,0.8520727100238865,Samsung Electronics,970 evo plus,ssd,nvme,512gb
0,13606.967741935483,1.0,1.0419845382820947,1.0492181425076337,0.9239849444623565,0.9717720522692359,0.9373163496247969,0.9792350219052858,0.9559167978455062,0.8338840473887509,0.8255021146661103,Samsung Electronics,970 evo plus,ssd,nvme,1tb
0,26177.90322580645,1.0,1.091873708874319,1.0941867987652725,0.9697848263227832,1.0353782739690578,1.0103037323195916,0.9979975724416678,0.8977985619489474,0.8587115046137985,0.8111778586963888,Samsung Electronics,970 evo plus,ssd,nvme,2tb
