CHIA_IMPACT,SECOND_HAND,base_price,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,brand,product,drive_type,drive_subtype,capacity
0,0,3799.0,1.0,1.3545105854924229,1.0356630352639489,1.034912696323594,1.0815240003736128,1.1014214266912346,1.0480601856176073,1.0414285592982873,0.9669035711152059,1.0,XPG,sx6000 pro,ssd,nvme,256gb
0,0,5844.1612903225805,1.0,0.9922724086350314,1.0253740982176862,1.0264945989656067,1.0171276542896412,1.0213840852095741,1.018237115621326,1.0126953286710199,0.9409391231391684,1.0,XPG,sx6000 pro,ssd,nvme,512gb
0,0,11782.90322580645,1.0,0.8486024037013716,0.8896679168834014,0.8995236400470885,1.085621594984532,1.0434723172812805,0.955372737974649,0.8275221069345964,0.7821219006944634,0.7664713773373122,XPG,sx6000 pro,ssd,nvme,1tb
0,0,6406.0,1.0,1.0,0.9406755763246151,0.7003122073056509,0.709279606820219,1.1677177645956915,1.5608804246019357,1.0,1.0,1.0,XPG,sx6000 lite,ssd,nvme,128gb
0,0,7199.0,1.0,1.0,1.0,1.0,0.9785633309285788,1.0,1.0,1.0,1.0,1.0,XPG,sx6000 lite,ssd,nvme,512gb
0,0,4623.064516129032,1.0,1.0509803579527615,1.0284687576317901,1.033376594680715,1.022056309527963,1.0479989300957098,1.049883124585703,0.9550221539964414,0.9767691216318367,0.9680703345776784,Crucial,mx500,ssd,sata,256gb
0,0,5550.612903225807,1.0,0.9784762425040452,0.984308620379034,1.1195220134558423,1.0133667307882304,1.0807815469375657,1.1666308283304954,1.1255833415664647,1.02132865304035,0.9926069461401217,Crucial,mx500,ssd,sata,512gb
0,0,9116.193548387097,1.0,1.1209996744538255,1.1584100607922097,1.1412584954576872,1.0664078810482587,1.0654849104630069,1.1383005074274066,1.1454943701743088,1.0467197684375906,0.9993559847417923,Crucial,mx500,ssd,sata,1tb
0,0,21294.677419354837,1.0,0.9384638856337827,0.9195164625417528,0.8984842999285501,0.9891219220310997,0.974750619191529,0.9430692206897076,0.9209813144281095,0.8880294182250601,0.8045445249835261,Crucial,mx500,ssd,sata,2tb
0,0,3221.7096774193546,1.0,1.0694077907513972,1.2020966627617076,1.2162589822407792,1.2171057242698227,1.1914377926633493,1.1112813272856528,1.0808626956234417,1.0794475650743112,1.0831556076216795,Crucial,bx500,ssd,sata,256gb
0,0,4979.870967741936,1.0,1.031732125274839,0.9682139710835882,1.1108855435214455,1.062140488158781,1.1452974123784354,1.1255894698657822,1.089327356583925,0.9637130555699505,0.9686609317510494,Crucial,bx500,ssd,sata,512gb
0,0,8455.161290322581,1.0,1.0985175253574015,1.0681355156232115,1.0914753347831063,1.067425889893556,1.137758701817303,1.1172255923085725,1.0995841440616534,1.0694020322256559,1.0351798863072754,Crucial,bx500,ssd,sata,1tb
0,0,18321.58064516129,1.0,0.9872120787276367,0.9845519737873016,0.9779978602118542,1.0186629904096878,1.0562844098885678,1.0404863645727143,1.0140976003972046,0.9823934052738793,0.9793668316404591,Crucial,bx500,ssd,sata,2tb
0,0,5335.0,1.0,1.030285178738787,1.0398040934788524,0.9760324898469228,0.9818605073011458,1.0299906279287723,1.0138827584121897,0.9745079662605436,1.0027116526085598,1.0295310941137348,Crucial,p5,ssd,nvme,256gb
0,0,6332.580645161291,1.0,1.048822016198869,0.9882430849167133,1.0841604265362608,1.1157811624471499,1.1988687959519806,1.2530079975548876,1.2292955020121237,1.1534054981067359,0.9982171055982884,Crucial,p5,ssd,nvme,512gb
0,0,12734.483870967742,1.0,0.9713445439882926,0.9417482122456424,1.047373949491137,1.093315331244348,1.1387897732598051,1.0463511572590554,1.005795794502608,0.9206759733751468,0.8569872507719705,Crucial,p5,ssd,nvme,1tb
0,0,27859.064516129034,1.0,1.0239242388076786,1.0050229785637614,1.040207218129039,1.1119146950491585,1.1822914338801331,1.1258384657336291,1.086458221161584,1.0653743709215315,0.7818987507396098,Crucial,p5,ssd,nvme,2tb
0,0,4434.4838709677415,1.0,1.070925081291055,1.0457994165957418,1.0820500137000584,1.0831023721711805,1.1256627554818421,1.0945667750547396,1.0618321221511762,1.0145487346238062,0.9636281634404849,Crucial,p2,ssd,nvme,256gb
0,0,5415.129032258064,1.0,1.1078221708594203,1.107297952570159,1.089823215324648,1.0679100965633916,1.104128814730534,1.0810155537949235,0.9987847666930763,0.979170265703217,0.842746427273648,Crucial,p2,ssd,nvme,512gb
0,0,9889.322580645161,1.0,1.0325566418746095,1.0614021639500406,1.1406443573877334,1.102733805440211,1.193661133382697,1.1505827399378281,1.045895051358748,0.9683204542316194,0.9643832220478914,Crucial,p2,ssd,nvme,1tb
