CHIA_IMPACT,base_price,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,asin,brand,product,drive_type,drive_subtype,capacity
1,27826.58064516129,1.0,0.9324203990217224,0.9235472233557146,1.0085237214205338,1.0061962106317468,1.003742920824523,1.0816694179619393,1.0148233761175205,1.0736976171928132,0.9412780075676076,B07YFGG261,Western Digital,wd red,ssd,sata,2tb
0,23892.548387096773,1.0,0.9575370374620783,0.8376238238673417,0.8150239850729544,0.8356391316499003,0.8536985257022143,0.8571345634824733,0.8111923139756086,0.7721319509794524,0.770820703985181,B08GLX7TNT,Samsung Electronics,980 pro,ssd,nvme,1tb
0,5499.0,1.0,0.9766191255552958,0.9450926561427591,0.9215614960295812,1.0316655814253617,1.0393526095653756,1.1096504349764473,1.0309381764426377,1.0194035279141662,1.035783632214655,B07M64R4CR,WD_BLACK,sn750,ssd,nvme,256gb
1,21294.677419354837,1.0,0.9384638856337827,0.9195164625417528,0.8984842999285501,0.9891219220310997,0.974750619191529,0.9430692206897076,0.9209813144281095,0.8880294182250601,0.8045445249835261,B003J5JB12,Crucial,mx500,ssd,sata,2tb
0,29999.0,1.0,1.0479611225136076,0.9634396415364384,1.0,1.0,0.9757258575285843,0.9489251792264043,0.919476885788666,0.8092158627509807,0.7946189604169601,B08HBZCSHW,WD_BLACK,an1500,ssd,nvme,1tb
0,20088.09677419355,1.0,0.9589403083239105,0.9953703926735621,0.9955298515731511,0.9952435321190047,0.9955646980799092,1.0173012103139236,0.9965747650269537,0.965746044439734,0.965746044439734,B07YQJSGWY,Kingston,a400,ssd,sata,2tb
0,20769.967741935485,1.0,0.9609943393543007,0.9397315292396435,0.9325933277317798,0.959682792617753,0.9140232459294255,0.8852996494628566,0.8917699097176599,0.8644420422994947,0.8525926857792502,B073SBRHH6,Western Digital,wd blue,ssd,sata,2tb
1,27859.064516129034,1.0,1.0239242388076786,1.0050229785637614,1.040207218129039,1.1119146950491585,1.1822914338801331,1.1258384657336291,1.086458221161584,1.0653743709215315,0.7818987507396098,B0892TWDP1,Crucial,p5,ssd,nvme,2tb
1,3141.967741935484,1.0,1.0853525997826365,1.0721553166805269,1.0823790310161088,1.0867650229463763,1.1136333302532828,1.1136333302532828,1.1015903327481236,1.0692874474252487,1.0598248477941705,B07P22RK1G,Kingston,a400,ssd,m2,256gb
0,13896.032258064517,1.0,0.919023896686353,0.8690853968526638,0.915086150529547,0.8866629369720296,0.8430488009650777,0.8609396509098675,0.9152484928396827,0.8226856741809955,0.8465633030547127,B08GL575DB,Samsung Electronics,980 pro,ssd,nvme,512gb
1,6814.741935483871,1.0,1.1179492615291193,0.9165234761451692,0.8483862467673655,0.8801838518960318,0.9292110241711911,0.8869244569410717,0.8986305779216783,0.911602140205216,0.8447956754095722,B08LB86XJW,Seagate,barracuda q5,ssd,nvme,512gb
1,2159.7419354838707,1.0,1.0992054008842156,1.1570826861034773,1.1570826861034773,1.1570826861034773,1.2443461982713986,1.24744593141355,1.3635888397658025,1.2188801927749235,1.065987573186761,B01N6JQS8C,Kingston,a400,ssd,sata,128gb
0,44146.45161290323,1.0,0.9497042207649862,0.9487848363949902,0.9012192799138741,0.9138687944817103,0.9122945377312074,0.8083548891519429,0.8395362941528928,0.8586850950648136,0.8279136890408757,B089C5P5SX,Samsung Electronics,870 qvo,ssd,sata,4tb
